ID,商家名稱,省,地址,商家類型,設備類型,累計租借數,累計歸還數,入駐時間,点位,経度,緯度,週一營業時間,週二營業時間,週三營業時間,週四營業時間,週五營業時間,週六營業時間,週日營業時間,新商家類型(python 字典)(子榕),離捷運/火車站距離(抓api爬下來)(恩嘉),是否內用(有就當賺到),座位數(有就當賺到),"google, fb 評價(爬蟲)(恩嘉)",loc,mrt,mrt 中文,time
43054,全家便利商店(新莊福基店),新北市,新北市新莊區福基里化成路８１２號,賣場與商店,3.0 Android 横屏5口,20,11,2020/12/10 13:50,显示,121.465801,25.058062,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.9,"(25.058062, 121.465801)",,,
42007,全家便利商店(板橋公園店),新北市,新北市板橋區金門街206號,賣場與商店,3.0 Android 横屏5口,35,39,2020/12/10 13:47,显示,121.4324225,24.9901411,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4.6,"(24.990141100000002, 121.43242250000002)",,,
42011,全家便利商店(板橋金市店),新北市,新北市板橋區金門街86號,賣場與商店,3.0 Android 横屏5口,18,34,2020/12/10 13:46,显示,121.433051,24.992756,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4,"(24.992756, 121.433051)",,,
43042,全家便利商店(新莊中央店),新北市,新北市新莊區中央路５５８號,賣場與商店,3.0 Android 横屏5口,86,95,2020/12/10 12:41,显示,121.4488973,25.0589506,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,5,"(25.05895060000001, 121.4488973)",,,
43223,樹林秀泰廣場股份有限公司,新北市,新北市樹林區樹新路40之6號,賣場與商店,"3.0 Android 竖屏20口,3.0 Android 竖屏20口",353,356,2020/12/10 12:28,显示,121.4284315,24.99573666,"11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00",,,,,4.2,"(24.99573666, 121.42843149999999)",,,
42005,全家便利商店(板橋僑一店),新北市,新北市板橋區僑中一街124巷9弄1號,賣場與商店,3.0 Android 横屏5口,27,50,2020/12/9 16:39,显示,121.4458611,25.0126486,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3,"(25.012648600000002, 121.4458611)",,,
42009,全家便利商店(板橋堂春店),新北市,新北市板橋區篤行路三段1號,賣場與商店,3.0 Android 横屏5口,29,51,2020/12/9 15:21,显示,121.429462,24.987795,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.9,"(24.987795000000002, 121.42946200000002)",,,
42010,全家便利商店(板橋溪崑店),新北市,新北市板橋區溪崑二街134號,賣場與商店,3.0 Android 横屏5口,26,40,2020/12/9 11:34,显示,121.4257271,24.9878026,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.5,"(24.987802600000002, 121.42572709999999)",,,
42006,全家便利商店(板橋千甲店),新北市,新北市板橋區溪北里溪崑二街26號,賣場與商店,3.0 Android 横屏5口,27,33,2020/12/9 11:33,显示,121.4285743,24.991372,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.3,"(24.991372, 121.42857430000001)",,,
42008,全家便利商店(板橋白金店),新北市,新北市板橋區金門街366號,賣場與商店,3.0 Android 横屏5口,29,41,2020/12/9 11:31,显示,121.4272897,24.9840622,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.3,"(24.9840622, 121.42728970000002)",,,
42603,全家便利商店(汐止興中店),新北市,新北市汐止區中興路158號,賣場與商店,3.0 Android 横屏5口,113,158,2020/12/8 13:53,显示,121.63227,25.065143,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.5,"(25.065143, 121.63226999999999)",,,
42598,全家便利商店(汐止新樹店),新北市,新北市汐止區樟樹二路273號,賣場與商店,3.0 Android 横屏5口,34,50,2020/12/8 13:53,显示,121.6410284,25.0691928,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.9,"(25.0691928, 121.6410284)",,,
42599,全家便利商店(汐止日月光店),新北市,新北市汐止區康寧街747號,賣場與商店,3.0 Android 横屏5口,52,91,2020/12/8 13:52,显示,121.6316448,25.0682284,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4,"(25.0682284, 121.63164479999999)",,,
42601,全家便利商店(汐止伯爵店),新北市,新北市汐止區伯爵街52巷1號,賣場與商店,3.0 Android 横屏5口,18,30,2020/12/8 13:52,显示,121.6383054,25.0805723,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.8,"(25.0805723, 121.63830540000001)",,,
42602,全家便利商店(汐止祥雲店),新北市,新北市汐止區祥雲街1號,賣場與商店,3.0 Android 横屏5口,11,11,2020/12/8 13:51,显示,121.645789,25.0896975,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.8,"(25.0896975, 121.645789)",,,
42600,全家便利商店(汐止汐旺店),新北市,新北市汐止區汐萬路一段343巷33號,賣場與商店,3.0 Android 横屏5口,43,57,2020/12/8 13:51,显示,121.649876,25.0776559,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4.3,"(25.077655899999996, 121.649876)",,,
42604,全家便利商店(新遠雄二店),新北市,新北市汐止區新台五路一段97號,賣場與商店,3.0 Android 横屏5口,99,104,2020/12/8 13:50,显示,121.6494743,25.0619952,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4.1,"(25.0619952, 121.64947430000001)",,,
42593,全家便利商店(汐止宏國店),新北市,新北市汐止區大同路二段283號,賣場與商店,3.0 Android 横屏5口,73,88,2020/12/7 18:17,显示,121.6537004,25.0661992,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.6,"(25.0661992, 121.65370039999999)",,,
42610,全家便利商店(汐止青山店),新北市,新北市汐止區新台五路一段212號,賣場與商店,3.0 Android 横屏5口,28,40,2020/12/7 18:16,显示,121.658875,25.0638428,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4.2,"(25.0638428, 121.658875)",,,
42606,全家便利商店(汐止興莊店),新北市,新北市汐止區莊敬街32號,賣場與商店,3.0 Android 横屏5口,14,29,2020/12/7 18:16,显示,121.6569501,25.0614977,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.1,"(25.061497699999997, 121.65695009999999)",,,
42596,全家便利商店(汐止莊敬店),新北市,新北市汐止區莊敬街139號,賣場與商店,3.0 Android 横屏5口,34,64,2020/12/7 18:15,显示,121.6544675,25.0607503,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.5,"(25.0607503, 121.65446750000001)",,,
